ma_khach_hang,ho_ten,gioi_tinh,tuoi,ngay_dang_ky,danh_muc_yeu_thich,ma_dia_ly,ma_kenh
CUS0000001,Trần Dũng,Male,24,2025-12-01,Cleanser,17,8
CUS0000002,Lý Minh,Male,55,2022-06-18,Sunscreen,17,5
CUS0000003,Nguyễn Tuấn,Male,16,2024-08-19,Toner,14,2
CUS0000004,Vũ Mai,Female,18,2024-10-30,Serum,6,2
CUS0000005,Hồ Mai,Female,23,2025-05-17,Sunscreen,22,7
CUS0000006,Phạm Khoa,Male,35,2022-12-29,Serum,23,6
CUS0000007,Đặng Vy,Female,31,2024-02-22,Cleanser,3,7
CUS0000008,Lê Ngọc,Female,16,2025-11-05,Moisturizer,7,8
CUS0000009,Ngô Nhung,Female,20,2022-03-17,Cleanser,22,2
CUS0000010,Trần Hà,Female,38,2022-04-06,Serum,20,8
CUS0000011,Trần Nhung,Female,25,2022-02-03,Cleanser,11,7
CUS0000012,Phan Hà,Female,31,2025-10-04,Toner,10,7
CUS0000013,Bùi Vy,Female,24,2025-01-28,Serum,12,5
CUS0000014,Bùi Mai,Female,39,2023-06-05,Sunscreen,20,2
CUS0000015,Đỗ Hoa,Female,25,2025-03-03,Sunscreen,7,7
CUS0000016,Phan Hương,Female,16,2023-02-04,Cleanser,3,2
CUS0000017,Đặng Vy,Female,39,2024-04-19,Serum,22,8
CUS0000018,Bùi Phúc,Male,21,2025-05-12,Moisturizer,14,8
CUS0000019,Ngô Ngọc,Female,21,2025-11-12,Cleanser,12,3
CUS0000020,Vũ Phương,Female,22,2025-11-24,Serum,7,5
CUS0000021,Bùi Tuấn,Male,26,2025-10-14,Moisturizer,10,4
CUS0000022,Phan Diệu,Female,34,2023-10-15,Cleanser,20,6
CUS0000023,Trần Anh,Male,34,2023-02-01,Cleanser,7,7
CUS0000024,Dương Vy,Female,29,2023-01-01,Toner,20,7
CUS0000025,Hồ Vy,Female,21,2025-10-07,Toner,11,7
CUS0000026,Phan Anh,Male,21,2025-02-28,Cleanser,5,2
CUS0000027,Trần Diệu,Female,22,2025-07-08,Toner,20,7
CUS0000028,Dương Nhung,Female,37,2023-08-30,Serum,20,7
CUS0000029,Phạm Nhung,Female,24,2025-07-27,Serum,23,1
CUS0000030,Phạm Diệu,Female,19,2022-01-14,Moisturizer,8,3
CUS0000031,Phạm Chi,Female,22,2024-05-22,Moisturizer,22,5
CUS0000032,Phạm Lan,Female,37,2024-03-11,Sunscreen,5,2
CUS0000033,Lê Khoa,Male,24,2025-05-16,Serum,10,6
CUS0000034,Lý Phương,Female,25,2025-06-10,Moisturizer,18,8
CUS0000035,Vũ Phương,Female,28,2025-01-18,Serum,17,8
CUS0000036,Nguyễn Hoa,Female,21,2022-06-14,Toner,10,3
CUS0000037,Đỗ Hương,Female,16,2024-09-20,Moisturizer,7,7
CUS0000038,Đỗ Hương,Female,37,2024-05-28,Moisturizer,7,7
CUS0000039,Đỗ Thảo,Female,39,2025-11-04,Sunscreen,22,3
CUS0000040,Phan Vy,Female,19,2023-02-17,Toner,3,1
CUS0000041,Phạm Hà,Female,21,2024-10-11,Toner,8,6
CUS0000042,Phạm Diệu,Female,37,2023-02-10,Cleanser,11,6
CUS0000043,Lý Lan,Female,32,2024-04-26,Moisturizer,15,5
CUS0000044,Vũ Ngọc,Female,38,2022-10-31,Cleanser,17,7
CUS0000045,Bùi Lan,Female,24,2023-08-27,Serum,23,6
CUS0000046,Dương Bảo,Female,21,2024-03-02,Moisturizer,12,8
CUS0000047,Nguyễn Nhung,Female,36,2024-07-12,Serum,16,2
CUS0000048,Hoàng Thu,Female,25,2024-03-13,Toner,11,7
CUS0000049,Ngô Thảo,Female,25,2025-04-12,Moisturizer,14,2
CUS0000050,Bùi Thu,Female,19,2023-10-03,Cleanser,10,3
CUS0000051,Nguyễn Việt,Male,31,2022-06-27,Cleanser,3,6
CUS0000052,Dương Hương,Female,34,2025-06-25,Sunscreen,20,8
CUS0000053,Hồ Anh,Male,31,2024-01-08,Serum,11,1
CUS0000054,Vũ Thảo,Female,38,2023-05-16,Moisturizer,11,7
CUS0000055,Bùi An,Female,17,2025-09-29,Serum,22,2
CUS0000056,Vũ An,Female,31,2022-01-28,Serum,23,1
CUS0000057,Nguyễn Bình,Male,32,2025-11-21,Serum,20,7
CUS0000058,Vũ Thảo,Female,40,2025-12-04,Serum,6,2
CUS0000059,Lý Nga,Female,33,2023-05-25,Serum,16,2
CUS0000060,Hoàng Thảo,Female,25,2024-04-30,Serum,1,8
CUS0000061,Đỗ Thu,Female,21,2025-06-18,Cleanser,10,7
CUS0000062,Vũ Hương,Female,34,2025-05-27,Serum,21,7
CUS0000063,Bùi Long,Male,29,2024-12-24,Cleanser,20,5
CUS0000064,Đặng Đức,Male,25,2025-01-07,Cleanser,6,2
CUS0000065,Nguyễn Trang,Female,34,2022-02-21,Cleanser,8,7
CUS0000066,Lê Ngọc,Female,25,2024-09-11,Cleanser,7,3
CUS0000067,Nguyễn Minh,Male,32,2024-06-26,Cleanser,11,8
